idx,x0,mB,x1,c,MnoDisp,Mabs,t0,z,model
0,0.3692830869075691,11.583693299205546,-1.2773087299459456,-0.12287934294814229,-19.506895035321786,-19.4585437776257,2458408.1613177974,0.003641332210811243,SALT2
1,0.33130513081744195,11.7007435661813,0.9522749786382421,0.0016467086304625532,-19.428149478618334,-19.360637814361755,2458217.5083371443,0.0036734868868800144,SALT2
2,0.23360231927786282,12.080165257127272,-0.7812129193309345,0.14427362079140865,-18.737755295629437,-18.835090829600908,2458205.0766353365,0.0034350460838020835,SALT2
3,0.15638251276315787,12.516675932729129,-0.31405188874568957,-0.05462892979729153,-19.4275129462093,-19.382883445355624,2458453.201726899,0.0053968826664436455,SALT2
4,0.21367713174301162,12.175485858293964,0.9899436699106712,-0.1688003707694845,-19.968456477632905,-19.884187441991788,2458318.711097672,0.005808041662600589,SALT2
5,0.0492629568115376,13.77016561984567,0.047571242376051544,0.09958392261849838,-18.994066040833182,-18.908684016828488,2458318.3652751115,0.00771322006318859,SALT2
6,0.15880969181902188,12.499847678486866,-0.9149228941267957,-0.11113655208280965,-19.52076843181019,-19.588014973872703,2458509.5059708995,0.005883592766647626,SALT2
7,0.1003174154605704,12.996826282771679,1.5096391159170481,-0.09643978268545461,-19.81407395407803,-19.739208772317753,2458474.7502955617,0.007917814735547365,SALT2
8,0.03779585889934948,14.057985814955316,-0.6127153005160653,0.12164351835198779,-18.83238085382086,-18.957492327923646,2458147.417539966,0.008997837160540253,SALT2
9,0.03569598105370065,14.11944531741434,0.18693371932853856,0.12976734333609816,-18.918831029973983,-19.01724329390778,2458357.04135839,0.009510677659992669,SALT2
10,0.046220303560713126,13.839613442019928,0.413581998783152,0.03444325428585918,-19.24978410462633,-19.133979867858823,2458403.7785979994,0.008827086451970913,SALT2
11,0.036833462559548134,14.087191648862166,-1.7761527829113717,-0.07066239124913838,-19.273147856523455,-19.244492071976424,2458441.4581887936,0.010397263236886712,SALT2
